položaj,ime,celina,država,ocena,višinska_razlika,proge,modre,rdeče,črne,žičnice
566,Pelvoux/Vallouise,Europe,France,2.9,1050.0,25.0,14.8,8.5,1.7,7
566,Ramundberget,Europe,Sweden,2.9,300.0,25.0,7.6,9.4,8.0,10
566,Soldier Mountain,North America,USA,2.9,418.0,25.0,9.0,8.0,8.0,3
566,Powder King,North America,Canada,2.9,580.0,25.0,12.0,7.0,6.0,3
566,Manning Park,North America,Canada,2.9,437.0,25.0,7.0,10.0,8.0,4
566,Purden,North America,Canada,2.9,335.0,25.0,5.0,14.0,6.0,3
566,Crystal Mountain – Westbank  (temporarily closed),North America,Canada,2.9,212.0,25.0,9.0,13.0,3.0,3
566,Caviahue,South America,Argentina,2.9,418.0,25.0,9.0,8.0,8.0,12
566,Arctic Valley,North America,USA,2.9,426.0,25.0,5.0,10.0,10.0,4
566,Bödele – Schwarzenberg,Europe,Austria,2.8,767.0,25.0,9.0,12.0,4.0,12
566,Rothwald/Wasenalp (Simplon Pass),Europe,Switzerland,2.7,520.0,25.0,5.0,15.0,5.0,3
